T/s,I_se/nA,Type
3.8,0.634775,$\mathit{I}_\mathrm{PE}$
3.816666667,0.656507,$\mathit{I}_\mathrm{PE}$
3.833333333,0.677334,$\mathit{I}_\mathrm{PE}$
3.85,0.678616,$\mathit{I}_\mathrm{PE}$
3.866666667,0.695213,$\mathit{I}_\mathrm{PE}$
3.883333333,0.714685,$\mathit{I}_\mathrm{PE}$
3.9,0.739324,$\mathit{I}_\mathrm{PE}$
3.916666667,0.728497,$\mathit{I}_\mathrm{PE}$
3.933333333,0.761348,$\mathit{I}_\mathrm{PE}$
3.95,0.782075,$\mathit{I}_\mathrm{PE}$
3.966666667,0.789154,$\mathit{I}_\mathrm{PE}$
3.983333333,0.819603,$\mathit{I}_\mathrm{PE}$
4,0.82001,$\mathit{I}_\mathrm{PE}$
4.016666667,0.836948,$\mathit{I}_\mathrm{PE}$
4.033333333,0.830526,$\mathit{I}_\mathrm{PE}$
4.05,0.868238,$\mathit{I}_\mathrm{PE}$
4.066666667,0.880437,$\mathit{I}_\mathrm{PE}$
4.083333333,0.871432,$\mathit{I}_\mathrm{PE}$
4.1,0.899925,$\mathit{I}_\mathrm{PE}$
4.116666667,0.89905,$\mathit{I}_\mathrm{PE}$
4.133333333,0.918322,$\mathit{I}_\mathrm{PE}$
4.15,0.939541,$\mathit{I}_\mathrm{PE}$
4.166666667,0.9673,$\mathit{I}_\mathrm{PE}$
4.183333333,0.987897,$\mathit{I}_\mathrm{PE}$
4.2,0.998149,$\mathit{I}_\mathrm{PE}$
4.216666667,0.987197,$\mathit{I}_\mathrm{PE}$
4.233333333,1.00352,$\mathit{I}_\mathrm{PE}$
4.25,1.02774,$\mathit{I}_\mathrm{PE}$
4.266666667,1.06211,$\mathit{I}_\mathrm{PE}$
4.283333333,1.03261,$\mathit{I}_\mathrm{PE}$
4.3,1.04546,$\mathit{I}_\mathrm{PE}$
4.316666667,1.0916,$\mathit{I}_\mathrm{PE}$
4.333333333,1.11259,$\mathit{I}_\mathrm{PE}$
4.35,1.11549,$\mathit{I}_\mathrm{PE}$
4.366666667,1.15626,$\mathit{I}_\mathrm{PE}$
4.383333333,1.15318,$\mathit{I}_\mathrm{PE}$
4.4,1.13034,$\mathit{I}_\mathrm{PE}$
4.416666667,1.16951,$\mathit{I}_\mathrm{PE}$
4.433333333,1.21122,$\mathit{I}_\mathrm{PE}$
4.45,1.18444,$\mathit{I}_\mathrm{PE}$
4.466666667,1.18563,$\mathit{I}_\mathrm{PE}$
4.483333333,1.20561,$\mathit{I}_\mathrm{PE}$
4.5,1.2471,$\mathit{I}_\mathrm{PE}$
4.516666667,1.23117,$\mathit{I}_\mathrm{PE}$
4.533333333,1.23872,$\mathit{I}_\mathrm{PE}$
4.55,1.2517,$\mathit{I}_\mathrm{PE}$
4.566666667,1.32608,$\mathit{I}_\mathrm{PE}$
4.583333333,1.33981,$\mathit{I}_\mathrm{PE}$
4.6,1.31483,$\mathit{I}_\mathrm{PE}$
4.616666667,1.33279,$\mathit{I}_\mathrm{PE}$
4.633333333,1.3194,$\mathit{I}_\mathrm{PE}$
4.65,1.38751,$\mathit{I}_\mathrm{PE}$
4.666666667,1.3723,$\mathit{I}_\mathrm{PE}$
4.683333333,1.35983,$\mathit{I}_\mathrm{PE}$
4.7,1.39648,$\mathit{I}_\mathrm{PE}$
4.716666667,1.39918,$\mathit{I}_\mathrm{PE}$
4.733333333,1.33784,$\mathit{I}_\mathrm{PE}$
4.75,1.38106,$\mathit{I}_\mathrm{PE}$
4.766666667,1.36806,$\mathit{I}_\mathrm{PE}$
4.783333333,1.39798,$\mathit{I}_\mathrm{PE}$
4.8,1.35874,$\mathit{I}_\mathrm{PE}$
4.816666667,1.40965,$\mathit{I}_\mathrm{PE}$
4.833333333,1.42223,$\mathit{I}_\mathrm{PE}$
4.85,1.42387,$\mathit{I}_\mathrm{PE}$
4.866666667,1.39227,$\mathit{I}_\mathrm{PE}$
4.883333333,1.41083,$\mathit{I}_\mathrm{PE}$
4.9,1.39653,$\mathit{I}_\mathrm{PE}$
4.916666667,1.38815,$\mathit{I}_\mathrm{PE}$
4.933333333,1.42051,$\mathit{I}_\mathrm{PE}$
4.95,1.42567,$\mathit{I}_\mathrm{PE}$
4.966666667,1.43198,$\mathit{I}_\mathrm{PE}$
4.983333333,1.41102,$\mathit{I}_\mathrm{PE}$
5,1.45825,$\mathit{I}_\mathrm{PE}$
5.016666667,1.45264,$\mathit{I}_\mathrm{PE}$
5.033333333,1.44306,$\mathit{I}_\mathrm{PE}$
5.05,1.42852,$\mathit{I}_\mathrm{PE}$
5.066666667,1.433,$\mathit{I}_\mathrm{PE}$
5.083333333,1.43964,$\mathit{I}_\mathrm{PE}$
5.1,1.44945,$\mathit{I}_\mathrm{PE}$
5.116666667,1.47011,$\mathit{I}_\mathrm{PE}$
5.133333333,1.45646,$\mathit{I}_\mathrm{PE}$
5.15,1.44841,$\mathit{I}_\mathrm{PE}$
5.166666667,1.46821,$\mathit{I}_\mathrm{PE}$
5.183333333,1.48038,$\mathit{I}_\mathrm{PE}$
5.2,1.45847,$\mathit{I}_\mathrm{PE}$
5.216666667,1.47677,$\mathit{I}_\mathrm{PE}$
5.233333333,1.48431,$\mathit{I}_\mathrm{PE}$
5.25,1.47569,$\mathit{I}_\mathrm{PE}$
5.266666667,1.49976,$\mathit{I}_\mathrm{PE}$
5.283333333,1.4969,$\mathit{I}_\mathrm{PE}$
5.3,1.47329,$\mathit{I}_\mathrm{PE}$
5.316666667,1.49737,$\mathit{I}_\mathrm{PE}$
5.333333333,1.49294,$\mathit{I}_\mathrm{PE}$
5.35,1.51526,$\mathit{I}_\mathrm{PE}$
5.366666667,1.52993,$\mathit{I}_\mathrm{PE}$
5.383333333,1.5415,$\mathit{I}_\mathrm{PE}$
5.4,1.50675,$\mathit{I}_\mathrm{PE}$
5.416666667,1.5188,$\mathit{I}_\mathrm{PE}$
5.433333333,1.55403,$\mathit{I}_\mathrm{PE}$
5.45,1.55745,$\mathit{I}_\mathrm{PE}$
5.466666667,1.51747,$\mathit{I}_\mathrm{PE}$
5.483333333,1.50562,$\mathit{I}_\mathrm{PE}$
5.5,1.54611,$\mathit{I}_\mathrm{PE}$
5.516666667,1.56453,$\mathit{I}_\mathrm{PE}$
5.533333333,1.50492,$\mathit{I}_\mathrm{PE}$
5.55,1.54788,$\mathit{I}_\mathrm{PE}$
5.566666667,1.58512,$\mathit{I}_\mathrm{PE}$
5.583333333,1.57437,$\mathit{I}_\mathrm{PE}$
5.6,1.55836,$\mathit{I}_\mathrm{PE}$
5.616666667,1.58,$\mathit{I}_\mathrm{PE}$
5.633333333,1.57941,$\mathit{I}_\mathrm{PE}$
5.65,1.54376,$\mathit{I}_\mathrm{PE}$
5.666666667,1.53786,$\mathit{I}_\mathrm{PE}$
5.683333333,1.58637,$\mathit{I}_\mathrm{PE}$
5.7,1.61469,$\mathit{I}_\mathrm{PE}$
5.716666667,1.6096,$\mathit{I}_\mathrm{PE}$
5.733333333,1.58851,$\mathit{I}_\mathrm{PE}$
5.75,1.57489,$\mathit{I}_\mathrm{PE}$
5.766666667,1.57557,$\mathit{I}_\mathrm{PE}$
5.783333333,1.60625,$\mathit{I}_\mathrm{PE}$
5.8,1.61237,$\mathit{I}_\mathrm{PE}$
5.816666667,1.61785,$\mathit{I}_\mathrm{PE}$
5.833333333,1.57067,$\mathit{I}_\mathrm{PE}$
5.85,1.57806,$\mathit{I}_\mathrm{PE}$
5.866666667,1.59728,$\mathit{I}_\mathrm{PE}$
5.883333333,1.59207,$\mathit{I}_\mathrm{PE}$
5.9,1.60242,$\mathit{I}_\mathrm{PE}$
5.916666667,1.62976,$\mathit{I}_\mathrm{PE}$
5.933333333,1.6252,$\mathit{I}_\mathrm{PE}$
5.95,1.61981,$\mathit{I}_\mathrm{PE}$
5.966666667,1.6229,$\mathit{I}_\mathrm{PE}$
5.983333333,1.62955,$\mathit{I}_\mathrm{PE}$
6,1.60985,$\mathit{I}_\mathrm{PE}$
6.016666667,1.66993,$\mathit{I}_\mathrm{PE}$
6.033333333,1.64951,$\mathit{I}_\mathrm{PE}$
6.05,1.64509,$\mathit{I}_\mathrm{PE}$
6.066666667,1.65431,$\mathit{I}_\mathrm{PE}$
6.083333333,1.69724,$\mathit{I}_\mathrm{PE}$
6.1,1.66654,$\mathit{I}_\mathrm{PE}$
6.116666667,1.66052,$\mathit{I}_\mathrm{PE}$
6.133333333,1.7031,$\mathit{I}_\mathrm{PE}$
6.15,1.66307,$\mathit{I}_\mathrm{PE}$
6.166666667,1.68343,$\mathit{I}_\mathrm{PE}$
