X,Y,Edep
2,49,3.90051E-30
2,50,6.76978E-30
2,51,1.70494E-30
2,52,1.33932E-30
2,53,3.36428E-30
2,54,2.58874E-30
2,55,2.13527E-30
2,56,1.25253E-30
2,57,3.33737E-30
2,58,3.44847E-30
2,59,1.48142E-30
2,60,1.16949E-30
2,61,1.25114E-30
2,62,1.59394E-30
2,63,8.45045E-31
2,64,4.32359E-30
2,65,3.96314E-30
2,66,8.62001E-30
2,67,6.38094E-30
2,68,2.41281E-30
2,69,2.82293E-30
2,70,2.41783E-30
2,71,2.47166E-30
2,72,1.4548E-30
2,73,3.84367E-30
2,74,1.02227E-29
2,75,6.34518E-30
2,76,2.39277E-30
2,77,2.70831E-06
2,78,2.55741E-05
2,79,4.808E-05
2,80,3.19745E-05
2,81,1.69486E-05
2,82,0.000401757
2,83,0.000790893
2,84,3.7084E-05
2,85,6.40457E-05
2,86,8.71486E-05
2,87,0.000221594
2,88,0.000215918
2,89,0.000404255
2,90,0.000777909
2,91,0.000416179
2,92,0.001565871
2,93,0.00215444
2,94,0.002603336
2,95,0.002969722
2,96,0.01519169
2,97,0.013750249
2,98,0.031593342
2,99,0.278569096
2,100,0.546751728
2,101,0.02481513
2,102,0.012743484
2,103,0.003106247
2,104,0.003881248
2,105,0.002456373
2,106,0.001496701
2,107,0.000500619
2,108,0.000796807
2,109,0.000469905
2,110,0.000273838
2,111,0.00017654
2,112,4.50355E-05
2,113,0.000135437
2,114,0.000591292
2,115,5.56562E-05
2,116,9.22321E-05
2,117,0.00086325
2,118,0.001009323
2,119,0.000149475
2,120,4.92819E-06
2,121,3.39652E-30
2,122,0.000208722
2,123,5.2976E-07
2,124,2.41937E-29
2,125,2.13059E-29
2,126,2.11583E-29
2,127,2.47037E-29
2,128,2.19308E-29
2,129,3.17388E-29
2,130,3.63598E-29
2,131,2.54901E-29
2,132,2.63951E-29
2,133,2.35519E-29
2,134,2.145E-29
2,135,2.27371E-29
2,136,2.07321E-29
2,137,1.053E-30
2,138,1.28979E-30
2,139,1.90846E-30
2,140,1.85858E-30
2,141,4.12203E-30
2,142,1.33257E-30
2,143,1.07504E-29
2,144,7.21877E-30
2,145,3.27993E-30
2,146,2.01252E-30
2,147,1.75769E-30
2,148,1.30162E-30
2,149,1.52046E-30
2,150,2.63575E-30
2,151,3.19234E-30
2,152,1.70097E-30
2,153,1.91128E-30
2,154,9.1631E-31
2,155,3.31172E-30
2,156,2.85814E-30
2,157,1.7058E-30
2,158,1.36377E-30
2,159,1.37833E-30
2,160,2.54874E-30
2,161,2.33495E-30
2,162,8.50163E-31
2,163,8.73871E-31
2,164,1.82283E-30
2,165,1.05233E-30
2,166,1.45098E-30
2,167,1.27454E-30
2,168,2.33961E-30
2,169,8.26639E-31
2,170,6.40551E-30
2,171,4.42742E-30
2,172,7.46268E-31
2,173,3.90764E-31
2,174,1.16936E-30
2,175,3.42438E-30
2,176,2.97401E-30
2,177,1.29548E-30
2,178,1.14165E-30
2,179,3.51774E-29
2,180,1.05789E-30
2,181,7.29463E-30
2,182,4.12235E-30
2,183,3.73341E-30
2,184,3.57075E-30
2,185,2.74742E-30
2,186,9.48408E-31
2,187,6.57436E-31
2,188,5.96059E-31
2,189,6.02034E-31
2,190,5.91575E-31
2,191,1.6706E-29
2,192,4.33903E-31
2,193,1.19471E-30
2,194,1.71116E-30
2,195,1.39643E-30
2,196,3.84311E-31
2,197,8.86419E-31
2,198,2.23791E-30
2,199,4.85936E-31
3,0,4.06602E-31
3,1,2.15154E-30
3,2,1.30982E-31
3,3,1.03495E-30
3,4,3.28489E-31
3,5,6.29525E-31
3,6,6.78931E-31
3,7,7.16554E-31
3,8,8.65658E-31
3,9,2.07131E-30
3,10,3.16E-31
3,11,3.69213E-31
3,12,7.24172E-31
3,13,4.01279E-30
3,14,6.41277E-30
3,15,2.45139E-30
3,16,9.08421E-31
3,17,8.04387E-31
3,18,6.39543E-31
