T/s,I_EBIC/A,I_prim/A,I_P/nA,I_se/nA
11.28333333,2.67862E-09,8.79684E-09,8.79684,2.678617446
11.3,2.69271E-09,9.31134E-09,9.31134,2.692712552
11.31666667,2.70681E-09,8.9578E-09,8.9578,2.706807658
11.33333333,2.7209E-09,9.31961E-09,9.31961,2.720902763
11.35,2.735E-09,9.51633E-09,9.51633,2.734997869
11.36666667,2.74909E-09,9.23259E-09,9.23259,2.749092975
11.38333333,2.76319E-09,9.01814E-09,9.01814,2.763188081
11.4,2.77728E-09,9.37786E-09,9.37786,2.777283186
11.41666667,2.79138E-09,9.50912E-09,9.50912,2.791378292
11.43333333,2.80547E-09,9.29373E-09,9.29373,2.805473398
11.45,2.82453E-09,9.6401E-09,9.6401,2.824531121
11.46666667,2.84369E-09,9.45983E-09,9.45983,2.843688181
11.48333333,2.86285E-09,9.72164E-09,9.72164,2.86284524
11.5,2.882E-09,9.68114E-09,9.68114,2.882002299
11.51666667,2.90116E-09,9.72054E-09,9.72054,2.901159359
11.53333333,2.92032E-09,9.64755E-09,9.64755,2.920316418
11.55,2.93947E-09,9.633E-09,9.633,2.939473478
11.56666667,2.95863E-09,1.01795E-08,10.1795,2.958630537
11.58333333,2.97779E-09,1.00052E-08,10.0052,2.977787596
11.6,2.99694E-09,1.03959E-08,10.3959,2.996944656
11.61666667,3.0161E-09,1.04048E-08,10.4048,3.016101715
11.63333333,3.03526E-09,1.04082E-08,10.4082,3.035258775
11.65,3.06019E-09,1.03235E-08,10.3235,3.060185628
11.66666667,3.08523E-09,1.01381E-08,10.1381,3.085229631
11.68333333,3.11027E-09,1.0825E-08,10.825,3.110273634
11.7,3.13532E-09,1.08821E-08,10.8821,3.135317637
11.71666667,3.16036E-09,1.03803E-08,10.3803,3.16036164
11.73333333,3.18541E-09,1.0933E-08,10.933,3.185405644
11.75,3.21045E-09,1.07981E-08,10.7981,3.210449647
11.76666667,3.23549E-09,1.12053E-08,11.2053,3.23549365
11.78333333,3.26054E-09,1.08087E-08,10.8087,3.260537653
11.8,3.28558E-09,1.08697E-08,10.8697,3.285581656
11.81666667,3.31063E-09,1.08014E-08,10.8014,3.31062566
11.83333333,3.33567E-09,1.1035E-08,11.035,3.335669663
11.85,3.36929E-09,1.15964E-08,11.5964,3.369293355
11.86666667,3.40312E-09,1.17234E-08,11.7234,3.40312417
11.88333333,3.43695E-09,1.1789E-08,11.789,3.436954985
11.9,3.47079E-09,1.13498E-08,11.3498,3.4707858
11.91666667,3.50462E-09,1.18537E-08,11.8537,3.504616615
11.93333333,3.53845E-09,1.15453E-08,11.5453,3.53844743
11.95,3.57228E-09,1.16407E-08,11.6407,3.572278245
11.96666667,3.60611E-09,1.18033E-08,11.8033,3.60610906
11.98333333,3.63994E-09,1.24428E-08,12.4428,3.639939874
12,3.67377E-09,1.23403E-08,12.3403,3.673770689
12.01666667,3.7076E-09,1.21935E-08,12.1935,3.707601504
12.03333333,3.74143E-09,1.23341E-08,12.3341,3.741432319
12.05,3.77498E-09,1.27285E-08,12.7285,3.774978525
12.06666667,3.80852E-09,1.30956E-08,13.0956,3.808516885
12.08333333,3.84206E-09,1.26242E-08,12.6242,3.842055244
12.1,3.87559E-09,1.32837E-08,13.2837,3.875593603
12.11666667,3.90913E-09,1.33641E-08,13.3641,3.909131963
12.13333333,3.94267E-09,1.2837E-08,12.837,3.942670322
12.15,3.97621E-09,1.31892E-08,13.1892,3.976208682
12.16666667,4.00975E-09,1.37301E-08,13.7301,4.009747041
12.18333333,4.04329E-09,1.34776E-08,13.4776,4.0432854
12.2,4.07682E-09,1.38369E-08,13.8369,4.07682376
12.21666667,4.11036E-09,1.34126E-08,13.4126,4.110362119
12.23333333,4.1439E-09,1.36408E-08,13.6408,4.143900479
12.25,4.20341E-09,1.37528E-08,13.7528,4.203407093
12.26666667,4.26369E-09,1.44E-08,14.4,4.263694954
12.28333333,4.32398E-09,1.50159E-08,15.0159,4.323982815
12.3,4.38427E-09,1.48002E-08,14.8002,4.384270676
12.31666667,4.44456E-09,1.53879E-08,15.3879,4.444558536
12.33333333,4.50485E-09,1.55921E-08,15.5921,4.504846397
12.35,4.56513E-09,1.55895E-08,15.5895,4.565134258
12.36666667,4.62542E-09,1.57138E-08,15.7138,4.625422119
12.38333333,4.68571E-09,1.58178E-08,15.8178,4.685709979
12.4,4.746E-09,1.59956E-08,15.9956,4.74599784
12.41666667,4.80629E-09,1.62152E-08,16.2152,4.806285701
12.43333333,4.86657E-09,1.61389E-08,16.1389,4.866573562
12.45,4.98146E-09,1.68243E-08,16.8243,4.981455064
12.46666667,5.09844E-09,1.73591E-08,17.3591,5.098439793
12.48333333,5.21542E-09,1.74007E-08,17.4007,5.215424522
12.5,5.33241E-09,1.75497E-08,17.5497,5.332409252
12.51666667,5.44939E-09,1.79234E-08,17.9234,5.449393981
12.53333333,5.56638E-09,1.81649E-08,18.1649,5.56637871
12.55,5.68336E-09,1.95584E-08,19.5584,5.68336344
12.56666667,5.80035E-09,1.93041E-08,19.3041,5.800348169
12.58333333,5.91733E-09,2.01612E-08,20.1612,5.917332898
12.6,6.03432E-09,2.03818E-08,20.3818,6.034317627
12.61666667,6.1513E-09,2.04079E-08,20.4079,6.151302357
12.63333333,6.26829E-09,2.15706E-08,21.5706,6.268287086
12.65,6.37935E-09,2.19421E-08,21.9421,6.379354154
12.66666667,6.49021E-09,2.15977E-08,21.5977,6.490214272
12.68333333,6.60107E-09,2.2741E-08,22.741,6.601074389
12.7,6.71193E-09,2.21507E-08,22.1507,6.711934507
12.71666667,6.82279E-09,2.3407E-08,23.407,6.822794624
12.73333333,6.93365E-09,2.33392E-08,23.3392,6.933654742
12.75,7.04451E-09,2.38924E-08,23.8924,7.044514859
12.76666667,7.15537E-09,2.45428E-08,24.5428,7.155374977
12.78333333,7.26624E-09,2.40245E-08,24.0245,7.266235095
12.8,7.3771E-09,2.49571E-08,24.9571,7.377095212
