section,coordinate_um,X,Y,Z,Edep
"x=0, y=0",0.215,0,100,143,6.287205146504011e-32
"x=0, y=0",0.22,0,100,144,1.1319062880049766e-31
"x=0, y=0",0.225,0,100,145,1.3396119860315755e-31
"x=0, y=0",0.23,0,100,146,8.781103649565843e-32
"x=0, y=0",0.235,0,100,147,5.903440531703302e-32
"x=0, y=0",0.24,0,100,148,1.1760004686842068e-31
"x=0, y=0",0.245,0,100,149,8.320201399347906e-32
"x=0, y=0",0.25,0,100,150,1.091080769325266e-31
"x=0, y=0",0.255,0,100,151,9.485364406605135e-32
"x=0, y=0",0.26,0,100,152,1.017188099850418e-31
"x=0, y=0",0.265,0,100,153,8.709318535290685e-32
"x=0, y=0",0.27,0,100,154,5.67811890602215e-32
"x=0, y=0",0.275,0,100,155,3.445200412979082e-32
"x=0, y=0",0.28,0,100,156,4.810857153578256e-32
"x=0, y=0",0.285,0,100,157,4.4414077450611575e-32
"x=0, y=0",0.29,0,100,158,3.414745404012132e-32
"x=0, y=0",0.295,0,100,159,3.104083125486388e-32
"x=0, y=0",0.3,0,100,160,2.2487195814978866e-32
"x=0, y=0",0.305,0,100,161,2.752234311880986e-32
"x=0, y=0",0.31,0,100,162,2.624389901956929e-32
"x=0, y=0",0.315,0,100,163,6.388261860774863e-32
"x=0, y=0",0.32,0,100,164,8.738520441000677e-32
"x=0, y=0",0.325,0,100,165,9.277828762635652e-32
"x=0, y=0",0.33,0,100,166,5.399230252348874e-32
"x=0, y=0",0.335,0,100,167,3.723737807452408e-32
"x=0, y=0",0.34,0,100,168,2.2062576409898454e-32
"x=0, y=0",0.345,0,100,169,5.072188422796968e-32
"x=0, y=0",0.35,0,100,170,3.917982751138129e-32
"x=0, y=0",0.355,0,100,171,4.0582425011175027e-32
"x=0, y=0",0.36,0,100,172,4.377735045641949e-32
"x=0, y=0",0.365,0,100,173,1.245487901748274e-31
"x=0, y=0",0.37,0,100,174,4.133177797106483e-32
"x=0, y=0",0.375,0,100,175,4.5830544113260416e-32
"x=0, y=0",0.38,0,100,176,5.274421725510087e-32
"x=0, y=0",0.385,0,100,177,3.0124407153284354e-32
"x=0, y=0",0.39,0,100,178,2.888547971403797e-32
"x=0, y=0",0.395,0,100,179,5.026181761223735e-31
"x=0, y=0",0.4,0,100,180,1.5321745096604011e-32
"x=0, y=0",0.405,0,100,181,2.2514279014403463e-32
"x=0, y=0",0.41,0,100,182,4.208515926066833e-32
"x=0, y=0",0.415,0,100,183,6.375354479062476e-32
"x=0, y=0",0.42,0,100,184,2.5956605235040105e-32
"x=0, y=0",0.425,0,100,185,3.3125136440843086e-32
"x=0, y=0",0.43,0,100,186,3.7510412408198207e-32
"x=0, y=0",0.435,0,100,187,4.2723294079431637e-32
"x=0, y=0",0.44,0,100,188,5.01761500931928e-32
"x=0, y=0",0.445,0,100,189,2.3649835889093615e-32
"x=0, y=0",0.45,0,100,190,2.3617274718812688e-32
"x=0, y=0",0.455,0,100,191,1.5118140210348239e-31
"x=0, y=0",0.46,0,100,192,2.6572214860663864e-31
"x=0, y=0",0.465,0,100,193,4.178830342014056e-32
"x=0, y=0",0.47,0,100,194,5.899049791703947e-32
"x=0, y=0",0.475,0,100,195,5.329814743787655e-32
"x=0, y=0",0.48,0,100,196,2.570938566479074e-32
"x=0, y=0",0.485,0,100,197,1.2190102062778817e-32
"x=0, y=0",0.49,0,100,198,3.3859714212163627e-32
"x=0, y=0",0.495,0,100,199,1.2490818966734598e-32
"y=0, z=0",0.0,0,100,100,0.0192309665512085
"y=0, z=0",0.005025125628140704,1,100,100,0.016876899958845
"y=0, z=0",0.010050251256281407,2,100,100,0.0152421884561631
"y=0, z=0",0.01507537688442211,3,100,100,0.0143212517889728
"y=0, z=0",0.020100502512562814,4,100,100,0.0136884665084361
"y=0, z=0",0.02512562814070352,5,100,100,0.0132641514443625
"y=0, z=0",0.03015075376884422,6,100,100,0.0123331733081212
"y=0, z=0",0.035175879396984924,7,100,100,0.0122551737774115
"y=0, z=0",0.04020100502512563,8,100,100,0.0120405058153871
"y=0, z=0",0.04522613065326633,9,100,100,0.0118390600302247
"y=0, z=0",0.05025125628140704,10,100,100,0.0115417243863564
"y=0, z=0",0.05527638190954774,11,100,100,0.0113575936725561
"y=0, z=0",0.06030150753768844,12,100,100,0.0112116125513969
"y=0, z=0",0.06532663316582915,13,100,100,0.0112038320486072
"y=0, z=0",0.07035175879396985,14,100,100,0.0113707223754421
