t_ns,T_centre_K,T_max_K
4.916142557651991818e-01,1.232852465491722569e+03,1.256537954451243650e+03
4.930817610062893097e-01,1.233295082823579150e+03,1.256970744214679826e+03
4.945492662473794376e-01,1.233734516777782574e+03,1.257400358394801515e+03
4.960167714884696211e-01,1.234170790362275056e+03,1.257826820886807809e+03
4.974842767295597490e-01,1.234603926415526303e+03,1.258250155395708589e+03
4.989517819706498769e-01,1.235033947607869095e+03,1.258670385438034373e+03
5.004192872117401159e-01,1.235460876442824883e+03,1.259087534343524112e+03
5.018867924528301883e-01,1.235884735258417095e+03,1.259501625256795251e+03
5.033542976939203717e-01,1.236305546228468756e+03,1.259912681138996277e+03
5.048218029350104441e-01,1.236723331363891020e+03,1.260320724769437902e+03
5.062893081761006275e-01,1.237138112513957367e+03,1.260725778747210370e+03
5.077568134171908110e-01,1.237549911367565073e+03,1.261127865492779392e+03
5.092243186582808834e-01,1.237958749454487815e+03,1.261527007249566168e+03
5.106918238993710668e-01,1.238364648146612581e+03,1.261923226085510578e+03
5.121593291404612502e-01,1.238767628659168622e+03,1.262316543894615734e+03
5.136268343815513227e-01,1.239167712051940725e+03,1.262706982398478431e+03
5.150943396226415061e-01,1.239564919230476789e+03,1.263094563147799136e+03
5.165618448637316895e-01,1.239959270947277673e+03,1.263479307523880152e+03
5.180293501048217619e-01,1.240350787802982722e+03,1.263861236740104005e+03
5.194968553459119454e-01,1.240739490247538242e+03,1.264240371843399316e+03
5.209643605870021288e-01,1.241125398581360059e+03,1.264616733715687360e+03
5.224318658280922012e-01,1.241508532956483123e+03,1.264990343075316332e+03
5.238993710691823846e-01,1.241888913377701328e+03,1.265361220478480163e+03
5.253668763102725681e-01,1.242266559703695975e+03,1.265729386320620051e+03
5.268343815513626405e-01,1.242641491648156943e+03,1.266094860837814167e+03
5.283018867924528239e-01,1.243013728780889323e+03,1.266457664108151221e+03
5.297693920335430073e-01,1.243383290528915495e+03,1.266817816053089018e+03
5.312368972746330797e-01,1.243750196177562657e+03,1.267175336438801423e+03
5.327044025157232632e-01,1.244114464871543078e+03,1.267530244877509404e+03
5.341719077568134466e-01,1.244476115616025709e+03,1.267882560828797978e+03
5.356394129979035190e-01,1.244835167277695291e+03,1.268232303600921796e+03
5.371069182389937025e-01,1.245191638585805322e+03,1.268579492352094803e+03
5.385744234800838859e-01,1.245545548133220336e+03,1.268924146091768307e+03
5.400419287211739583e-01,1.245896914377449320e+03,1.269266283681896994e+03
5.415094339622641417e-01,1.246245755641669575e+03,1.269605923838187891e+03
5.429769392033543252e-01,1.246592090115743076e+03,1.269943085131342059e+03
5.444444444444445086e-01,1.246935935857223285e+03,1.270277785988280584e+03
5.459119496855345810e-01,1.247277310792352637e+03,1.270610044693358759e+03
5.473794549266247644e-01,1.247616232717053208e+03,1.270939879389567977e+03
5.488469601677149479e-01,1.247952719297907834e+03,1.271267308079726035e+03
5.503144654088050203e-01,1.248286788073132584e+03,1.271592348627656520e+03
5.517819706498950927e-01,1.248618456453541739e+03,1.271915018759353643e+03
5.532494758909853871e-01,1.248947741723503896e+03,1.272235336064138437e+03
5.547169811320754595e-01,1.249274661041891477e+03,1.272553317995802672e+03
5.561844863731655320e-01,1.249599231443020244e+03,1.272868981873740040e+03
5.576519916142558264e-01,1.249921469837582436e+03,1.273182344884068925e+03
5.591194968553458988e-01,1.250241393013571951e+03,1.273493424080741306e+03
5.605870020964359712e-01,1.250559017637200441e+03,1.273802236386643926e+03
5.620545073375262657e-01,1.250874360253808391e+03,1.274108798594685368e+03
5.635220125786163381e-01,1.251187437288765977e+03,1.274413127368875394e+03
5.649895178197065215e-01,1.251498265048368012e+03,1.274715239245392468e+03
